E2E3
G7G5
G1F3
F7F6
H2H4
F8H6
G2G4
C7C6
F1G2
E7E5
H4H5
D7D6
F3H2
E8F7
D1E2
D8A5
E2F3
B8D7
H1G1
A8B8
E1D1
F7E7
D1E2
A5A6
E2D1
E7E8
G2F1
A6B6
F1D3
D7C5
D3E2
C5D7
F3F5
A7A5
F5E6
E8D8
E6D6
C6C5
D6D5
H6G7
D5H1
G8E7
B2B3
G7H6
C2C4
H8F8
H1G2
D8E8
G2H3
B6A6
B1C3
D7B6
G1F1
E7C6
C1A3
B6D7
D1E1
C6A7
C3D1
F8H8
H3F3
H8F8
F1G1
F8H8
F3D5
A6B6
D5F3
D7F8
G1G2
E8E7
F3H3
F8D7
D1C3
H8E8
C3D5
E7D6
D5B6
D7B6
A1B1
E8D8
B1A1
C8D7
H3G3
D7C6
F2F3
D8C8
D2D4
B6D7
A1D1
C8G8
D4E5
D6E6
D1D6
E6E7
E5E6
D7E5
A3C5
B7B6
D6C6
B6C5
C6C7
E7E6
C7A7
G8F8
G2F2
B8C8
E3E4
F8G8
G3G2
H6G7
A7A5
H7H6
A2A4
G8D8
G2H1
E6D7
F3F4
G5F4
F2F1
D8F8
A5A7
C8C7
A7C7
D7C7
F1F4
F8F7
H2F1
C7B7
H1H4
G7H8
F4F5
B7B6
F1G3
B6A6
F5F4
H8G7
E1D2
A6A7
G3F5
G7F8
F5G3
F8G7
E2D3
F7D7
F4F6
D7D3
D2C1
D3C3
C1D1
C3G3
F6A6
A7A6
H4G3
E5D7
G3C7
D7E5
C7G7
E5C6
D1D2
C6A7
G7C7
A7C6
C7C6
A6A7
C6C7
A7A8
